graph,factor_0.02000_cost,factor_0.02000_runtime,factor_0.02589_cost,factor_0.02589_runtime,factor_0.03375_cost,factor_0.03375_runtime,factor_0.04160_cost,factor_0.04160_runtime,factor_0.04749_cost,factor_0.04749_runtime,factor_0.28906_cost,factor_0.28906_runtime,factor_0.29495_cost,factor_0.29495_runtime,factor_0.32048_cost,factor_0.32048_runtime,factor_0.32637_cost,factor_0.32637_runtime,factor_0.33226_cost,factor_0.33226_runtime
synthetic_1407.tsp,42186.50194240421,0.004565000534057617,42186.50194240421,0.011359930038452148,42186.50194240421,0.005133867263793945,42186.50194240421,0.004881620407104492,42186.50194240421,0.05533170700073242,,,,,,,,,,
synthetic_1465.tsp,27777.63430814717,0.0035943984985351562,27777.63430814717,0.0031304359436035156,28473.510026872864,0.002443075180053711,28473.510026872864,0.002371072769165039,28473.510026872864,0.001984834671020508,,,,,,,,,,
synthetic_1473.tsp,44918.50599866567,0.003971099853515625,45622.4151221515,0.004277467727661133,43515.65611944815,0.003139019012451172,43515.65611944815,0.0026030540466308594,43515.65611944815,0.002291440963745117,,,,,,,,,,
synthetic_1482.tsp,50879.54275634462,0.006397724151611328,,,,,47838.22579563282,0.004225492477416992,47838.22579563282,0.0038862228393554688,,,,,,,,,,
synthetic_1485.tsp,46268.58666446924,0.003330230712890625,46268.58666446924,0.0024611949920654297,46268.58666446924,0.0023322105407714844,46268.58666446924,0.004927635192871094,46268.58666446924,0.002397775650024414,,,,,,,,,,
synthetic_149.tsp,40534.24445057246,0.0038912296295166016,42806.50279044736,0.047913312911987305,42806.50279044736,0.0047914981842041016,42806.50279044736,0.00301361083984375,42806.50279044736,0.0030722618103027344,,,,,,,,,,
synthetic_151.tsp,45115.73404825042,0.004475593566894531,40421.689284298634,0.052093505859375,41456.88026076748,0.0044171810150146484,42100.307798116446,0.0033037662506103516,49035.335224058676,0.0033016204833984375,,,,,,,,,,
synthetic_16.tsp,40438.58770797731,0.003991842269897461,40438.58770797731,0.0038557052612304688,40438.58770797731,0.0038814544677734375,40438.58770797731,0.009095907211303711,41778.75368291008,0.003012418746948242,,,,,,,,,,
synthetic_163.tsp,33821.414219382925,0.0018589496612548828,27218.02307816941,0.0021674633026123047,27218.02307816941,0.0014493465423583984,27218.02307816941,0.0013022422790527344,27218.02307816941,0.0012421607971191406,,,,,,,,,,
synthetic_171.tsp,34937.60929266676,0.0036432743072509766,34926.56387661522,0.0030069351196289062,34926.56387661522,0.027692794799804688,34926.56387661522,0.003203153610229492,34926.56387661522,0.003170490264892578,,,,,,,,,,
synthetic_179.tsp,34245.187196295534,0.003264904022216797,34245.187196295534,0.0026366710662841797,34245.187196295534,0.05019330978393555,34245.187196295534,0.002290487289428711,35738.27271988012,0.002382516860961914,,,,,,,,,,
synthetic_180.tsp,35671.887773271,0.0017671585083007812,35671.887773271,0.0017244815826416016,35671.887773271,0.0018239021301269531,35671.887773271,0.0016026496887207031,35671.887773271,0.0014858245849609375,,,,,,,,,,
synthetic_184.tsp,33373.836021903415,0.0027718544006347656,37433.33106528083,0.0026993751525878906,32591.765818377597,0.002432584762573242,32591.765818377597,0.0021660327911376953,32591.765818377597,0.0022249221801757812,,,,,,,,,,
synthetic_191.tsp,53720.24902896673,0.004929780960083008,53720.24902896673,0.0048520565032958984,49872.28822470881,0.00580286979675293,,,,,,,,,,,,,,
synthetic_251.tsp,28934.447863821573,0.0021314620971679688,28934.447863821573,0.0018787384033203125,28934.447863821573,0.0021126270294189453,28934.447863821573,0.048813581466674805,28934.447863821573,0.002521038055419922,,,,,,,,,,
synthetic_281.tsp,29131.387025006807,0.0024356842041015625,32080.688380493742,0.0025691986083984375,32080.688380493742,0.0034601688385009766,,,,,,,,,,,,,,
synthetic_296.tsp,39730.93968764789,0.003623485565185547,44783.87069567265,0.00398707389831543,42978.64542556572,0.03396272659301758,42978.64542556572,0.004002094268798828,42978.64542556572,0.0038993358612060547,,,,,,,,,,
synthetic_366.tsp,44532.39073818417,0.004953622817993164,56325.70057035638,0.06438469886779785,49120.30502574524,0.0035390853881835938,49120.30502574524,0.004134416580200195,49120.30502574524,0.004733085632324219,,,,,,,,,,
synthetic_385.tsp,41605.51074942265,0.004953622817993164,41605.51074942265,0.010293006896972656,41605.51074942265,0.0037412643432617188,41605.51074942265,0.003731966018676758,41605.51074942265,0.0035550594329833984,,,,,,,,,,
synthetic_567.tsp,27233.016351795497,0.0024423599243164062,27233.016351795497,0.002560853958129883,27233.016351795497,0.03129100799560547,27233.016351795497,0.002138376235961914,27233.016351795497,0.002023458480834961,,,,,,,,,,
synthetic_626.tsp,31904.823571582878,0.0016827583312988281,36785.350990735424,0.0018968582153320312,36785.350990735424,0.0014891624450683594,36785.350990735424,0.001577138900756836,28470.340332549855,0.002468585968017578,,,,,,,,,,
synthetic_687.tsp,42947.19045396944,0.003455638885498047,43440.311581529124,0.002927541732788086,39656.18835002885,0.003869295120239258,39656.18835002885,0.0024352073669433594,39656.18835002885,0.030176639556884766,,,,,,,,,,
synthetic_783.tsp,41820.85611217382,0.006548643112182617,49113.28432893014,0.005442142486572266,52890.91304637963,0.004790782928466797,41354.57188138565,0.004626274108886719,46642.6569507966,0.004412412643432617,,,,,,,,,,
synthetic_86.tsp,33891.83443740793,0.0047702789306640625,33891.83443740793,0.003920793533325195,33891.83443740793,0.003217935562133789,33891.83443740793,0.004058361053466797,33891.83443740793,0.002728700637817383,,,,,,,,,,
synthetic_863.tsp,43406.12688905954,0.004800081253051758,43406.12688905954,0.004392862319946289,43303.11947974691,0.0046844482421875,43303.11947974691,0.01641678810119629,43303.11947974691,0.0031325817108154297,,,,,,,,,,
