instance_id,n_nodes,original_edges,kept_edges,tour_edges,tour_edges_kept,recall,success,sparsity,min_degree,mean_degree,max_degree
284,43,124,50,41.0,34.0,0.8292682926829268,False,0.4032258064516129,2,2.3255813121795654,4
285,526,1450,613,486.0,417.0,0.8580246913580247,False,0.4227586206896552,2,2.330798387527466,5
286,107,293,125,97.0,85.0,0.8762886597938144,False,0.42662116040955633,2,2.3364486694335938,4
287,97,268,111,89.0,81.0,0.9101123595505618,False,0.4141791044776119,2,2.2886598110198975,4
288,518,1424,601,470.0,414.0,0.8808510638297873,False,0.4220505617977528,2,2.3204634189605713,4
289,32,93,37,30.0,26.0,0.8666666666666667,False,0.3978494623655914,2,2.3125,3
290,97,272,115,88.0,81.0,0.9204545454545454,False,0.4227941176470588,2,2.371134042739868,4
291,415,1156,485,378.0,334.0,0.8835978835978836,False,0.4195501730103806,2,2.3373494148254395,4
292,98,272,117,85.0,75.0,0.8823529411764706,False,0.43014705882352944,2,2.3877551555633545,4
293,513,1422,606,462.0,399.0,0.8636363636363636,False,0.42616033755274263,2,2.3625731468200684,5
294,466,1289,554,427.0,373.0,0.8735362997658079,False,0.42979053529868116,2,2.3776824474334717,5
295,455,1253,535,424.0,358.0,0.8443396226415094,False,0.42697525937749403,2,2.3516483306884766,4
296,26,75,31,24.0,21.0,0.875,False,0.41333333333333333,2,2.384615421295166,4
297,33,91,40,29.0,26.0,0.896551724137931,False,0.43956043956043955,2,2.4242424964904785,4
298,471,1301,547,435.0,380.0,0.8735632183908046,False,0.42044581091468103,2,2.3227176666259766,4
299,66,189,79,61.0,50.0,0.819672131147541,False,0.41798941798941797,2,2.39393949508667,4
300,67,188,81,62.0,53.0,0.8548387096774194,False,0.4308510638297872,2,2.41791033744812,4
301,531,1459,615,488.0,431.0,0.8831967213114754,False,0.42152159013022616,2,2.3163840770721436,5
302,386,1062,450,355.0,307.0,0.8647887323943662,False,0.423728813559322,2,2.331606149673462,4
303,39,109,47,36.0,32.0,0.8888888888888888,False,0.43119266055045874,2,2.4102563858032227,4
304,420,1170,497,381.0,324.0,0.8503937007874016,False,0.4247863247863248,2,2.366666555404663,4
