instance_id,n_nodes,original_edges,kept_edges,tour_edges,tour_edges_kept,recall,success,sparsity,min_degree,mean_degree,max_degree
40,248,685,290,228.0,204.0,0.8947368421052632,False,0.4233576642335766,2,2.338709592819214,4
41,157,434,184,145.0,130.0,0.896551724137931,False,0.423963133640553,2,2.34394907951355,5
42,44,124,54,42.0,33.0,0.7857142857142857,False,0.43548387096774194,2,2.454545497894287,3
43,60,168,72,56.0,43.0,0.7678571428571429,False,0.42857142857142855,2,2.4000000953674316,4
44,98,274,116,90.0,78.0,0.8666666666666667,False,0.4233576642335766,2,2.367347002029419,4
45,90,252,106,82.0,69.0,0.8414634146341463,False,0.42063492063492064,2,2.355555534362793,4
46,48,136,58,43.0,37.0,0.8604651162790697,False,0.4264705882352941,2,2.4166667461395264,4
47,226,631,269,210.0,180.0,0.8571428571428571,False,0.42630744849445323,2,2.380531072616577,4
48,365,1003,430,321.0,287.0,0.8940809968847352,False,0.4287138584247258,2,2.3561644554138184,5
49,534,1451,625,493.0,423.0,0.8580121703853956,False,0.43073742246726393,2,2.3408238887786865,5
50,47,128,55,42.0,35.0,0.8333333333333334,False,0.4296875,2,2.340425491333008,4
51,77,215,87,69.0,59.0,0.855072463768116,False,0.4046511627906977,2,2.2597403526306152,4
52,83,232,98,71.0,68.0,0.9577464788732394,False,0.4224137931034483,2,2.361445665359497,4
53,47,134,56,44.0,34.0,0.7727272727272727,False,0.417910447761194,2,2.382978677749634,4
54,10,29,11,9.0,5.0,0.5555555555555556,False,0.3793103448275862,2,2.200000047683716,3
55,495,1363,585,454.0,401.0,0.8832599118942731,False,0.42920029347028615,2,2.3636362552642822,4
56,435,1205,513,399.0,343.0,0.8596491228070176,False,0.42572614107883816,2,2.3586206436157227,4
57,43,123,51,39.0,35.0,0.8974358974358975,False,0.4146341463414634,2,2.3720929622650146,4
58,74,206,86,66.0,56.0,0.8484848484848485,False,0.4174757281553398,2,2.324324369430542,4
59,55,156,64,53.0,48.0,0.9056603773584906,False,0.41025641025641024,2,2.327272653579712,4
60,192,530,228,169.0,147.0,0.8698224852071006,False,0.43018867924528303,2,2.375,5
61,186,512,222,171.0,143.0,0.8362573099415205,False,0.43359375,2,2.387096881866455,4
62,22,62,27,19.0,18.0,0.9473684210526315,False,0.43548387096774194,2,2.454545497894287,4
63,55,158,66,49.0,40.0,0.8163265306122449,False,0.4177215189873418,2,2.4000000953674316,4
64,52,144,62,47.0,38.0,0.8085106382978723,False,0.4305555555555556,2,2.384615421295166,4
65,169,466,201,156.0,130.0,0.8333333333333334,False,0.4313304721030043,2,2.3786981105804443,4
66,209,591,248,190.0,156.0,0.8210526315789474,False,0.4196277495769882,2,2.3732056617736816,4
67,199,553,236,179.0,162.0,0.9050279329608939,False,0.4267631103074141,2,2.371859312057495,5
68,415,1148,481,385.0,335.0,0.8701298701298701,False,0.4189895470383275,2,2.3180723190307617,4
69,244,681,283,218.0,186.0,0.8532110091743119,False,0.4155653450807636,2,2.319672107696533,4
70,184,509,213,164.0,147.0,0.8963414634146342,False,0.41846758349705304,2,2.3152174949645996,4
71,14,38,18,13.0,12.0,0.9230769230769231,False,0.47368421052631576,2,2.5714285373687744,3
72,65,181,76,57.0,51.0,0.8947368421052632,False,0.4198895027624309,2,2.3384616374969482,4
73,354,982,416,318.0,284.0,0.8930817610062893,False,0.42362525458248473,2,2.3502824306488037,4
74,283,779,337,257.0,227.0,0.8832684824902723,False,0.4326059050064185,2,2.3816254138946533,4
75,116,317,140,106.0,93.0,0.8773584905660378,False,0.4416403785488959,2,2.4137930870056152,4
76,545,1494,643,505.0,432.0,0.8554455445544554,False,0.4303882195448461,2,2.359632968902588,5
77,334,926,388,309.0,269.0,0.8705501618122977,False,0.4190064794816415,2,2.3233532905578613,4
78,347,972,407,321.0,276.0,0.8598130841121495,False,0.41872427983539096,2,2.3458213806152344,5
79,513,1415,602,469.0,406.0,0.8656716417910447,False,0.4254416961130742,2,2.3469786643981934,4
80,491,1359,585,453.0,378.0,0.8344370860927153,False,0.4304635761589404,2,2.38289213180542,5
81,303,842,347,280.0,248.0,0.8857142857142857,False,0.41211401425178146,2,2.29042911529541,4
82,506,1406,596,458.0,386.0,0.8427947598253275,False,0.4238975817923186,2,2.355731248855591,4
83,432,1197,501,391.0,341.0,0.8721227621483376,False,0.41854636591478694,2,2.319444417953491,4
84,398,1096,464,361.0,320.0,0.8864265927977839,False,0.4233576642335766,2,2.331658363342285,4
85,13,39,15,12.0,9.0,0.75,False,0.38461538461538464,2,2.307692289352417,3
86,362,1008,420,326.0,287.0,0.8803680981595092,False,0.4166666666666667,2,2.320441961288452,4
87,521,1443,620,474.0,413.0,0.8713080168776371,False,0.42966042966042967,2,2.3800384998321533,4
88,381,1057,443,348.0,302.0,0.867816091954023,False,0.41911069063386946,2,2.3254592418670654,4
89,198,551,230,182.0,157.0,0.8626373626373627,False,0.41742286751361163,2,2.323232412338257,4
90,17,48,20,16.0,14.0,0.875,False,0.4166666666666667,2,2.3529412746429443,4
91,29,83,33,26.0,22.0,0.8461538461538461,False,0.39759036144578314,2,2.275861978530884,3
92,105,291,126,96.0,80.0,0.8333333333333334,False,0.4329896907216495,2,2.4000000953674316,4
93,454,1255,522,409.0,370.0,0.9046454767726161,False,0.4159362549800797,2,2.2995593547821045,4
