graph,n,full_cost,full_runtime,edgegnn_cost,edgegnn_runtime,cascade_best_cost,cascade_best_runtime,cascade_best_factor,speedup_ratio,cost_change_percent
synthetic_1056.tsp,16,42000.56647821844,39.89955735206604,42188.05621388303,40.3521089553833,49957.51596770494,39.68128108978272,factor_0.02589,1.0055007362738477,18.944862311828544
synthetic_1293.tsp,16,47730.76671483623,46.24772763252258,46881.34379295291,45.85028147697449,48272.64749194998,43.55552411079407,factor_0.04749,1.061810839765818,1.135286135986827
synthetic_171.tsp,17,42125.32955734614,39.214099168777466,37712.49467749274,39.62607169151306,42358.23435187073,37.97602510452271,factor_0.04749,1.0326014652888806,0.5528853945404337
synthetic_1473.tsp,17,47245.01353779367,41.33453965187073,42584.02416637044,41.99557685852051,42999.56656797122,41.25133776664734,factor_0.02589,1.0020169499882416,-8.986021279105577
synthetic_16.tsp,17,39137.3548743528,39.36920833587647,40416.9064040125,37.92363953590393,42565.79507718141,38.494749307632446,factor_0.04749,1.022716319601298,8.760020225780014
synthetic_1296.tsp,17,43042.06630527098,35.25675749778748,44777.06192001124,33.130311489105225,43894.73930393116,36.24827980995178,factor_0.02000,0.972646362327735,1.9810224551318982
synthetic_1221.tsp,17,43873.66733207456,37.20348143577576,48551.46258745469,37.22506141662598,50015.76563014219,38.125049114227295,factor_0.02589,0.975827764163912,13.999509663914841
synthetic_100.tsp,17,36104.2219282782,38.35994577407837,44793.14304085489,39.262454986572266,37916.25821870997,39.585604429245,factor_0.03375,0.9690377683292075,5.01890414376306
synthetic_863.tsp,17,44344.86593870838,42.64118933677673,45352.9865125135,39.92060470581055,42721.84935704013,40.57369375228882,factor_0.02589,1.0509565532068739,-3.659987570853219
synthetic_296.tsp,17,37474.90518563351,20.037760734558105,38964.96428044757,37.64681553840637,39186.02566368004,37.0500795841217,factor_0.04160,0.5408290875344179,4.566043515174808
synthetic_385.tsp,18,51344.27421655384,36.99627828598023,42135.58154286576,37.27459931373596,43832.36060948469,37.04039216041565,factor_0.04160,0.9988090332779316,-14.63047968189458
synthetic_151.tsp,18,43604.36551249676,40.66032338142395,41754.71112248985,40.06690263748169,39949.57875309064,39.36369156837464,factor_0.02000,1.0329397920110481,-8.381699209357107
synthetic_1237.tsp,18,58408.42099925811,38.76839590072632,59201.37528886649,38.129638671875,53963.88542402363,37.77472400665283,factor_0.02589,1.02630520593343,-7.609408881796223
synthetic_1367.tsp,18,47854.154301401766,37.52796983718872,41147.51019582233,38.55185413360596,39103.49186137442,36.89798879623413,factor_0.02000,1.0170735875181058,-18.286108213119157
synthetic_1156.tsp,18,43939.45273966272,35.0376455783844,49611.78544596525,34.636244773864746,44974.52327857089,34.65057873725891,factor_0.02000,1.0111705736305432,2.355674625810345
synthetic_1482.tsp,19,45729.44320299862,48.011150598526,55270.96869999329,48.90523600578308,43821.516563278994,49.16331005096436,factor_0.02589,0.9765646484900224,-4.172206145721271
synthetic_1250.tsp,19,54250.39485097913,71.28398561477661,61726.86284364206,56.62447428703308,50505.99992665418,48.890501260757446,factor_0.02000,1.458033437509334,-6.902060223912586
synthetic_366.tsp,19,52874.6217481089,46.11638116836548,47876.85691915861,47.45903944969177,43352.73303396703,43.98079872131348,factor_0.02000,1.0485571546934431,-18.008428995489552
synthetic_783.tsp,19,39544.15950402815,51.581053018569946,37764.62451273021,51.32704925537109,41617.75690954556,51.20444321632385,factor_0.03375,1.007355021919778,5.243751369418237
synthetic_1334.tsp,19,42157.34077274488,56.623488426208496,53037.0121579177,55.971720933914185,51167.852797258754,53.42262816429138,factor_0.02000,1.059915814176597,21.373530349284405
synthetic_191.tsp,19,60187.02490185524,44.63990116119385,51998.9771560716,45.99815917015076,55504.2600387214,44.81065630912781,factor_0.04749,0.9961894075651113,-7.780356099624225
synthetic_107.tsp,20,39239.48916212534,42.268181800842285,43637.77417672866,41.20997452735901,38876.84231982162,41.70060968399048,factor_0.02000,1.0136106431333474,-0.9241884898281384
synthetic_108.tsp,20,50297.63384085714,40.90286564826965,51848.91898903057,41.65095114707947,49607.84227615871,42.2325656414032,factor_0.02000,0.9685148185307038,-1.3714195122596462
synthetic_1217.tsp,20,55877.93755900851,40.544841051101685,44654.886989709856,44.80934762954712,48738.433902402816,46.31996035575867,factor_0.02589,0.8753211518252304,-12.776963446559206
synthetic_1407.tsp,20,42268.07310451144,57.23639917373657,48811.76026331816,51.82755088806152,47842.00629733021,51.43594002723694,factor_0.02000,1.1127705480531338,13.18710029443913
synthetic_1303.tsp,20,45755.51233785063,47.09859085083008,41713.45165682577,56.14710593223572,37543.25794986625,55.920838594436646,factor_0.02000,0.8422368482778035,-17.948120277501303
ulysses22.tsp,22,107.2270911871142,56.892842531204224,108.68264497535708,58.80800223350525,105.60319539665392,58.72639989852905,factor_0.29495,0.9687779708871486,-1.514445437698705
synthetic_193.tsp,23,52079.166632196975,52.42793393135071,51219.30825845128,52.093663930892944,54435.9977191246,51.12262678146362,factor_0.29495,1.025532865427024,4.525477728114331
synthetic_174.tsp,23,44985.73844433759,54.18506240844727,48931.120814069975,53.05714273452759,49797.63684807036,48.08762955665589,factor_0.33226,1.1267983659832412,10.696497534850288
