graph,n,full_cost,full_runtime,edgegnn_cost,edgegnn_runtime,cascade_best_cost,cascade_best_runtime,cascade_best_factor
synthetic_12.tsp,13,38075.92350627847,0.0033898353576660156,38075.92350627847,0.034688472747802734,38075.92350627847,0.002851724624633789,factor_0.02000
synthetic_1485.tsp,14,44971.80535821941,0.0040874481201171875,44971.80535821941,0.004202842712402344,46268.58666446924,0.003330230712890625,factor_0.02000
synthetic_1215.tsp,14,44772.159622945735,0.0044634342193603516,44772.159622945735,0.004068851470947266,44540.58241804809,0.0044786930084228516,factor_0.04160
synthetic_567.tsp,14,27313.76226051146,0.003998756408691406,27313.76226051146,0.004235744476318359,27233.016351795497,0.0024423599243164062,factor_0.02000
synthetic_1353.tsp,14,36536.16681847155,0.004826545715332031,36536.16681847155,0.004073381423950195,36571.37360015958,0.0024635791778564453,factor_0.02000
synthetic_1465.tsp,15,27777.63430814717,0.04876351356506348,27777.63430814717,0.004182577133178711,27777.63430814717,0.0035943984985351562,factor_0.02000
synthetic_1363.tsp,15,32962.939238598636,0.004613161087036133,32962.939238598636,0.004392385482788086,33305.14869783304,0.0030133724212646484,factor_0.02589
synthetic_1247.tsp,15,40896.61190001716,0.0044705867767333984,40896.61190001716,0.004232645034790039,39959.32984716713,0.0029828548431396484,factor_0.02589
synthetic_687.tsp,15,40277.509487690215,0.004555225372314453,40277.509487690215,0.04824256896972656,39656.18835002885,0.003869295120239258,factor_0.03375
synthetic_86.tsp,15,40341.87949757341,0.005972385406494141,40341.87949757341,0.010858297348022461,33891.83443740793,0.0047702789306640625,factor_0.02000
synthetic_149.tsp,16,40725.8358354805,0.010823965072631836,40725.8358354805,0.005351066589355469,40534.24445057246,0.0038912296295166016,factor_0.02000
synthetic_1293.tsp,16,46833.79991550747,0.01122426986694336,46833.79991550747,0.005084514617919922,42183.83378095008,0.004781484603881836,factor_0.02000
synthetic_1056.tsp,16,42540.18991760291,0.005316257476806641,42540.18991760291,0.023458003997802734,36146.787565349776,0.04839038848876953,factor_0.02000
synthetic_1473.tsp,17,42358.89726523069,0.00547480583190918,42358.89726523069,0.00600123405456543,43515.65611944815,0.003139019012451172,factor_0.03375
synthetic_1296.tsp,17,39316.91173539685,0.006226539611816406,39316.91173539685,0.005742788314819336,42005.30538747424,0.06970834732055664,factor_0.02000
synthetic_16.tsp,17,38989.115529821705,0.0810394287109375,38989.115529821705,0.006348133087158203,40438.58770797731,0.003991842269897461,factor_0.02000
synthetic_171.tsp,17,31256.202050004078,0.006121635437011719,31256.202050004078,0.01092672348022461,34926.56387661522,0.0030069351196289062,factor_0.02589
