instance,k,mean_gap,std_gap,min_gap,max_gap,range_gap,n_seeds
pbm436,9,0.47124047124047125,0.2972641800350272,0.2772002772002772,0.9009009009009008,0.6237006237006236,10
pbm436,10,0.15246015246015246,0.029219474799430635,0.1386001386001386,0.2079002079002079,0.06930006930006932,10
pbm436,12,0.07623007623007622,0.021914606099572968,0.0693000693000693,0.1386001386001386,0.0693000693000693,10
pbm436,15,0.6514206514206514,2.035739912776149,0.0,6.4449064449064455,6.4449064449064455,10
pbm436,17,0.0,0.0,0.0,0.0,0.0,10
pbm436,20,0.02772002772002772,0.035786401905358436,0.0,0.0693000693000693,0.0693000693000693,10
pbm436,22,0.0,0.0,0.0,0.0,0.0,10
pbm436,25,0.0,0.0,0.0,0.0,0.0,10
pbn423,2,160.71062271062272,6.598293309617705,149.96336996336996,169.74358974358975,19.780219780219795,10
pbn423,3,52.014652014652015,5.843686841961819,46.446886446886445,59.48717948717949,13.040293040293044,10
pbn423,4,16.608058608058606,2.3761700194224895,13.626373626373626,21.17216117216117,7.545787545787546,10
pbn423,5,4.615384615384615,9.362222582871203e-16,4.615384615384616,4.615384615384616,0.0,10
pbn423,6,2.8278388278388285,0.13900121583157718,2.783882783882784,3.223443223443224,0.4395604395604398,10
pbn423,7,0.7326007326007326,0.0,0.7326007326007326,0.7326007326007326,0.0,10
pbn423,8,0.5128205128205128,0.0,0.5128205128205128,0.5128205128205128,0.0,10
pbn423,9,0.21978021978021972,2.925694557147251e-17,0.2197802197802197,0.2197802197802197,0.0,10
pbn423,10,0.0732600732600732,0.0,0.0732600732600732,0.0732600732600732,0.0,10
pbn423,12,0.0732600732600732,0.0,0.0732600732600732,0.0732600732600732,0.0,10
pbn423,15,0.0732600732600732,0.0,0.0732600732600732,0.0732600732600732,0.0,10
pbn423,17,0.01465201465201465,0.04633373861052569,0.0,0.1465201465201465,0.1465201465201465,10
pbn423,20,0.014652014652014638,0.030889159073683774,0.0,0.0732600732600732,0.0732600732600732,10
pbn423,22,0.01465201465201465,0.04633373861052569,0.0,0.1465201465201465,0.1465201465201465,10
pbn423,25,0.0,0.0,0.0,0.0,0.0,10
pcb442,2,63.13560990980346,2.7370393014054817,59.09252038284296,66.45397613139549,7.36145574855253,10
pcb442,3,20.13687029816062,2.0411389640765805,17.434715821812595,22.344322344322347,4.909606522509751,10
pcb442,4,3.3006420103194296,0.0,3.3006420103194296,3.3006420103194296,0.0,10
pcb442,5,0.6695813147426051,0.0,0.6695813147426051,0.6695813147426051,0.0,10
pcb442,6,0.5868683288038127,0.0,0.5868683288038127,0.5868683288038127,0.0,10
pcb442,7,0.5809602583796132,1.1702778228589004e-16,0.5809602583796133,0.5809602583796133,0.0,10
pcb442,8,0.061050061050061014,1.4628472785736255e-17,0.061050061050061,0.061050061050061,0.0,10
pcb442,9,0.0,0.0,0.0,0.0,0.0,10
pcb442,10,0.0,0.0,0.0,0.0,0.0,10
pcb442,12,0.0,0.0,0.0,0.0,0.0,10
pcb442,15,0.0,0.0,0.0,0.0,0.0,10
pcb442,17,0.0,0.0,0.0,0.0,0.0,10
pcb442,20,0.0,0.0,0.0,0.0,0.0,10
pcb442,22,0.0,0.0,0.0,0.0,0.0,10
pcb442,25,0.0,0.0,0.0,0.0,0.0,10
pka379,2,260.13107443527554,23.804570122441454,233.78378378378375,302.3255813953488,68.54179761156507,10
pka379,3,78.91699839374257,8.90855062702586,61.86186186186187,88.96396396396396,27.102102102102094,10
pka379,4,36.1844684144009,5.161754206884274,27.53188297074269,39.93993993993994,12.40805696919725,10
pka379,5,20.983325786401558,4.79954239818356,16.74174174174174,27.98199549887472,11.24025375713298,10
pka379,6,17.952393503781355,0.4968081473815524,17.56756756756757,18.529632408102024,0.9620648405344561,10
pka379,7,17.682393571365814,0.045603276846639305,17.62940735183796,17.71771771771772,0.08831036587976016,10
pka379,8,17.53228847752479,0.04554510940168037,17.479369842460617,17.56756756756757,0.08819772510695145,10
pka379,9,16.40650027371708,0.04510885356450208,16.35408852213053,16.441441441441444,0.08735291931091282,10
pka379,10,16.40650027371708,0.04510885356450208,16.35408852213053,16.441441441441444,0.08735291931091282,10
pka379,12,16.25637265172149,0.14579664567005896,15.99099099099099,16.366366366366368,0.375375375375377,10
pka379,15,15.731027351432454,0.04484710006218961,15.678919729932485,15.765765765765764,0.08684603583327899,10
pka379,17,15.731027351432454,0.04484710006218961,15.678919729932485,15.765765765765764,0.08684603583327899,10
pka379,20,15.731027351432454,0.04484710006218961,15.678919729932485,15.765765765765764,0.08684603583327899,10
pka379,22,15.731027351432454,0.04484710006218961,15.678919729932485,15.765765765765764,0.08684603583327899,10
pka379,25,15.731027351432454,0.04484710006218961,15.678919729932485,15.765765765765764,0.08684603583327899,10
rbu737,2,242.8279794824457,22.139613379844416,209.6258298129149,278.63608931804464,69.01025950512974,10
rbu737,3,68.86079854228106,8.38851672009878,60.50090525045263,89.83101991550996,29.330114665057323,10
rbu737,4,23.383991444709842,2.701812670294161,20.18708509354255,28.03258901629451,7.845503922751959,10
rbu737,5,4.435463322978947,0.02535958758898057,4.372738238841978,4.465902232951117,0.09316399410913867,10
rbu737,6,0.9293376857182999,0.019251257000973358,0.8745476477683957,0.9354254677127338,0.06087781994433816,10
rbu737,7,0.26552739301701367,0.019124641857768153,0.2110977080820265,0.2715751357875678,0.06047742770554132,10
rbu737,8,0.208198504280193,0.022291120042327084,0.1507840772014475,0.2414001207000603,0.09061604349861282,10
rbu737,9,0.054315027157513504,0.019084355221293755,0.0,0.060350030175015,0.060350030175015,10
rbu737,10,0.0241418320347278,0.019078599987511706,-0.0301568154402895,0.0301750150875075,0.060331830527797004,10
rbu737,12,-0.0060313630880579,0.019072844753729667,-0.060313630880579,0.0,0.060313630880579,10
rbu737,15,0.0120736459644466,0.038161037761958234,-0.060313630880579,0.060350030175015,0.12066366105559401,10
rbu737,17,-0.0060313630880579,0.019072844753729667,-0.060313630880579,0.0,0.060313630880579,10
rbu737,20,0.006038642946945101,0.034249629791741745,-0.060313630880579,0.060350030175015,0.12066366105559401,10
rbu737,22,-0.0060313630880579,0.019072844753729667,-0.060313630880579,0.0,0.060313630880579,10
rbu737,25,-0.0060313630880579,0.019072844753729667,-0.060313630880579,0.0,0.060313630880579,10
rbx711,2,147.5011295690644,7.051813254508354,138.85145973692653,160.03210272873193,21.1806429918054,10
rbx711,3,41.35795263482863,1.984275619474395,37.66442091754893,44.62624318254732,6.961822264998389,10
rbx711,4,9.351050084685495,0.9888297162801795,8.860353130016051,12.159127366057106,3.298774236041055,10
rbx711,5,2.9779961903114027,0.03413416045282215,2.9515559833172924,3.0176565008025684,0.06610051748527601,10
rbx711,6,0.7380867412228597,0.030480545837291748,0.7058068655758742,0.7704654895666132,0.06465862399073896,10
rbx711,7,0.2567311965501668,0.033895745390886564,0.2245749117741418,0.2889245585874799,0.0643496468133381,10
rbx711,8,0.1219532919200923,0.03318746669143187,0.0962463907603465,0.160513643659711,0.0642672528993645,10
rbx711,9,0.1379943570468167,0.052518535701790686,0.0962463907603465,0.2566570420275906,0.1604106512672441,10
rbx711,10,-0.03849855630413856,0.03313428164865716,-0.0641642605068976,0.0,0.0641642605068976,10
rbx711,12,-0.03849855630413856,0.03313428164865716,-0.0641642605068976,0.0,0.0641642605068976,10
rbx711,15,-0.025665704202759036,0.03313428164865716,-0.0641642605068976,0.0,0.0641642605068976,10
rbx711,17,-0.01282255286213282,0.05062940991305451,-0.0641642605068976,0.0642054574638844,0.128369717970782,10
rbx711,20,-0.009616399684637279,0.04292196228928454,-0.0641642605068976,0.0642054574638844,0.128369717970782,10
rbx711,22,-0.03207801055775012,0.045380694761217935,-0.0641642605068976,0.0642054574638844,0.128369717970782,10
rbx711,25,-0.01924103876067192,0.05283913474182395,-0.0641642605068976,0.0642054574638844,0.128369717970782,10
xql662,2,201.1086450432957,12.47524288137457,180.6207719856745,218.78233187425388,38.161559888579376,10
xql662,3,51.480899927693166,6.3106510172520895,39.992041384799045,57.8591325109431,17.867091126144054,10
xql662,4,16.00049251893759,0.8318191013112473,15.21048451151708,18.105849582172706,2.8953650706556253,10
xql662,5,3.5127895585454896,0.06729801770514086,3.3359809372517866,3.54158376442499,0.20560282717320355,10
xql662,6,3.103341390616912,2.2884042051264655,1.8268467037331213,7.441305212892956,5.614458509159835,10
xql662,7,0.7399851832549422,0.22214464023116964,0.4368546465448769,1.0744130521289297,0.6375584055840529,10
xql662,8,0.6484848513144069,0.06543581275711219,0.4765687053216839,0.6764822920811778,0.19991358675949394,10
xql662,9,1.5868261147905574,3.2169596037111994,0.3177124702144559,10.73558648111332,10.417874010898863,10
xql662,10,0.5768952314646192,0.20403094086755927,0.2382843526608419,0.7958615200955035,0.5575771674346616,10
xql662,12,0.03186923215433181,0.0767970195685219,-0.1588562351072279,0.0795861520095503,0.2384423871167782,10
xql662,15,0.891258959098195,2.1284642820632453,0.0397930760047751,6.92399522483088,6.8842021488261045,10
xql662,17,0.16715462438844617,0.2684236427194914,-0.1191421763304209,0.6366892160764027,0.7558313924068236,10
xql662,20,0.03585960593693061,0.19619314059075307,-0.1985702938840349,0.5571030640668524,0.7556733579508873,10
xql662,22,-0.015879294592073923,0.06269115192600672,-0.1588562351072279,0.0795861520095503,0.2384423871167782,10
xql662,25,0.05176260569739498,0.16354252974842842,-0.1588562351072279,0.477516912057302,0.63637314716453,10
