instance_id,n_nodes,original_edges,kept_edges,tour_edges,tour_edges_kept,recall,success,sparsity
36,178,15753,980,178.0,170.0,0.9550561797752809,False,0.06221037262743604
37,530,7521,2898,516.0,497.0,0.9631782945736435,False,0.3853211009174312
38,42,861,242,42.0,40.0,0.9523809523809523,False,0.281068524970964
39,60,1770,340,60.0,58.0,0.9666666666666667,False,0.192090395480226
40,248,30628,1345,248.0,236.0,0.9516129032258065,False,0.04391406556092464
41,157,12246,862,157.0,150.0,0.9554140127388535,False,0.07039033153682835
42,44,946,258,44.0,43.0,0.9772727272727273,False,0.2727272727272727
43,60,1770,349,60.0,56.0,0.9333333333333333,False,0.19717514124293786
44,98,4753,548,98.0,98.0,1.0,True,0.11529560277719335
45,90,4005,511,90.0,86.0,0.9555555555555556,False,0.12759051186017478
46,48,1128,279,48.0,45.0,0.9375,False,0.2473404255319149
47,226,25425,1255,226.0,218.0,0.9646017699115044,False,0.04936086529006883
48,365,5166,2042,356.0,343.0,0.9634831460674157,False,0.39527680991095626
49,534,7477,2914,520.0,503.0,0.9673076923076923,False,0.3897285007355891
50,47,1081,273,47.0,43.0,0.9148936170212766,False,0.25254394079555964
51,77,2926,430,77.0,70.0,0.9090909090909091,False,0.1469583048530417
52,83,3403,469,83.0,78.0,0.9397590361445783,False,0.137819570966794
53,47,1081,276,47.0,45.0,0.9574468085106383,False,0.2553191489361702
54,10,45,45,10.0,10.0,1.0,True,1.0
55,495,6895,2730,487.0,473.0,0.971252566735113,False,0.39593908629441626
56,435,6150,2421,426.0,413.0,0.9694835680751174,False,0.39365853658536587
57,43,903,251,43.0,41.0,0.9534883720930233,False,0.2779623477297896
58,74,2701,416,74.0,70.0,0.9459459459459459,False,0.1540170307293595
59,55,1485,313,55.0,53.0,0.9636363636363636,False,0.21077441077441078
60,192,18336,1060,192.0,181.0,0.9427083333333334,False,0.05780977312390925
61,186,17205,1019,186.0,179.0,0.9623655913978495,False,0.05922696890438826
62,22,231,130,22.0,21.0,0.9545454545454546,False,0.5627705627705628
63,55,1485,311,55.0,53.0,0.9636363636363636,False,0.20942760942760943
64,52,1326,300,52.0,49.0,0.9423076923076923,False,0.22624434389140272
65,169,14196,919,169.0,160.0,0.9467455621301775,False,0.06473654550577627
66,209,21736,1150,209.0,200.0,0.9569377990430622,False,0.05290761869709238
67,199,19701,1108,199.0,184.0,0.9246231155778895,False,0.05624079995939293
68,415,5888,2335,403.0,397.0,0.9851116625310173,False,0.39656929347826086
69,244,29646,1331,244.0,230.0,0.9426229508196722,False,0.04489644471429535
70,184,16836,1012,184.0,173.0,0.9402173913043478,False,0.060109289617486336
71,14,91,80,14.0,14.0,1.0,True,0.8791208791208791
72,65,2080,373,65.0,62.0,0.9538461538461539,False,0.17932692307692308
73,354,4969,1982,345.0,334.0,0.9681159420289855,False,0.39887301267860736
74,283,39903,1538,283.0,268.0,0.9469964664310954,False,0.038543467909680974
75,116,6670,638,116.0,110.0,0.9482758620689655,False,0.09565217391304348
76,545,7620,3010,532.0,524.0,0.9849624060150376,False,0.39501312335958005
77,334,4729,1886,326.0,320.0,0.9815950920245399,False,0.3988158172975259
78,347,4944,1962,337.0,329.0,0.9762611275964391,False,0.39684466019417475
79,513,7330,2814,504.0,485.0,0.9623015873015873,False,0.3839017735334243
80,491,6977,2721,482.0,465.0,0.9647302904564315,False,0.3899957001576609
81,303,4327,1718,298.0,290.0,0.9731543624161074,False,0.39704183036746016
82,506,7162,2788,493.0,476.0,0.9655172413793104,False,0.3892767383412455
83,432,6006,2404,420.0,410.0,0.9761904761904762,False,0.40026640026640026
84,398,5611,2238,388.0,374.0,0.9639175257731959,False,0.39885938335412585
85,13,78,72,13.0,13.0,1.0,True,0.9230769230769231
86,362,5115,2027,351.0,339.0,0.9658119658119658,False,0.39628543499511243
87,521,7428,2867,512.0,491.0,0.958984375,False,0.3859719978459882
88,381,5324,2121,371.0,360.0,0.9703504043126685,False,0.3983846731780616
89,198,19503,1081,198.0,185.0,0.9343434343434344,False,0.05542737014818233
90,17,136,90,17.0,16.0,0.9411764705882353,False,0.6617647058823529
91,29,406,166,29.0,27.0,0.9310344827586207,False,0.4088669950738916
92,105,5460,589,105.0,100.0,0.9523809523809523,False,0.10787545787545788
93,454,6406,2530,444.0,431.0,0.9707207207207207,False,0.3949422416484546
94,355,5013,1980,347.0,335.0,0.9654178674351584,False,0.39497307001795334
95,294,43071,1611,294.0,278.0,0.9455782312925171,False,0.037403357247335796
96,44,946,254,44.0,42.0,0.9545454545454546,False,0.26849894291754756
97,351,5046,1978,342.0,335.0,0.97953216374269,False,0.3919936583432422
98,369,5244,2083,361.0,349.0,0.9667590027700831,False,0.3972158657513349
99,373,5263,2081,366.0,353.0,0.9644808743169399,False,0.3954018620558617
